"","scenario","scena1","prc.Grass_carp","prc.Common_carp","prc.Pike_perch","prc.Roach","prc.Tench","EE.Roach_juv","EE.Tench_juv","EE.Macroinvertebrate","EE.Zooplancton","EE.Macrophyte","EE.Phytoplancton","Feed","EE.Detritus","RDT","FCI","Profitability","n"
"259","scenario1230","1230",10,45,10,25,10,0.048394742734,-1.10674714070511,2.41832083770056,2.15178345725614,0.776321116106521,0.0234498003635181,0.605615816127213,0.0161566595605958,1416.21214214465,0.0529351226192193,4614.30740992544,13
"260","scenario1231","1231",5,50,10,25,10,0.048394742734,-1.10674714070511,2.38408255830603,2.14576153478169,0.770317821110317,0.0219760181254016,0.632111231123452,0.0149142424083342,1356.90117087595,0.0529466783103437,3702.94572748337,13
"261","scenario1232","1232",45,5,15,25,10,0.0563579290654641,-1.27421826022243,2.79885740939948,2.19549925427072,0.817943450859489,0.0336295030719762,0.373221836541175,0.0249507348097236,1835.66474526699,0.0531198716020775,11452.9083406947,13
"262","scenario1233","1233",40,10,15,25,10,0.0563579290654641,-1.27421826022243,2.76461913000495,2.18947733179627,0.811940155863285,0.0321557208338597,0.399717251537413,0.0236604148053947,1776.35377399829,0.0531318912261606,10541.5466582526,13
"263","scenario1234","1234",35,15,15,25,10,0.0563579290654641,-1.27421826022243,2.73038085061042,2.18345540932182,0.805936860867082,0.0306819385957431,0.426212666533651,0.0223769031351473,1717.04280272959,0.053143904372016,9630.18497581052,13
"264","scenario1235","1235",30,20,15,25,10,0.0563579290654641,-1.27421826022243,2.69614257121588,2.17743348684737,0.799933565870878,0.0292081563576266,0.452708081529889,0.0211001460548209,1657.73183146089,0.0531559098767342,8718.82329336845,13
"265","scenario1236","1236",25,25,15,25,10,0.0563579290654641,-1.27421826022243,2.66190429182135,2.17141156437292,0.793930270874674,0.0277343741195101,0.479203496526127,0.0198300903844372,1598.42086019218,0.0531679066240756,7807.46161092639,13
"266","scenario1237","1237",20,30,15,25,10,0.0563579290654641,-1.27421826022243,2.62766601242681,2.16538964189847,0.78792697587847,0.0262605918813935,0.505698911522365,0.0185666835008156,1539.10988892348,0.0531798933236034,6896.09992848432,13
"267","scenario1238","1238",15,35,15,25,10,0.0563579290654641,-1.27421826022243,2.59342773303228,2.15936771942402,0.781923680882267,0.024786809643277,0.532194326518602,0.017309873330306,1479.79891765478,0.0531918687367375,5984.73824604225,13
"268","scenario1239","1239",10,40,15,25,10,0.0563579290654641,-1.27421826022243,2.55918945363774,2.15334579694957,0.775920385886063,0.0233130274051604,0.55868974151484,0.0160596083416335,1420.48794638608,0.0532038315707007,5073.37656360018,13
