scenario;scena1;prc.Striped_catfish;prc.Silver_Carp;prc.Clarias_macrocephalus;prc.Common_carp;EE.Macroinvertebrate;EE.Zooplancton;EE.Phytoplancton;EE.Feed;EE.Detritus;RDT;FCI;Profitability;n
scenario13106;13106;16;40;10;34;0.501475711;0.677440179;0.581906744;1.785410762;0.398768103;2387.892066;0.158780069;2924.674463;9
scenario13107;13107;14;42;10;34;0.500976875;0.677949634;0.583516796;1.891124388;0.400785764;2298.058682;0.159234577;2872.069842;9
scenario13108;13108;12;44;10;34;0.500478038;0.678459089;0.585126849;2.03207589;0.402822108;2208.225299;0.159691632;2819.465221;9
scenario13109;13109;10;46;10;34;0.499979201;0.678968544;0.586736901;2.229407991;0.404877394;2118.391915;0.160151256;2766.8606;9
scenario1311;1311;76;10;10;4;0.437512444;0.643301171;0.557996328;1.06374344;0.345768085;4868.843314;0.149406924;4181.737698;9
scenario13110;13110;8;48;10;34;0.499480365;0.679477999;0.588346953;2.525406144;0.40695189;2028.558532;0.16061347;2714.255979;9
scenario13111;13111;6;50;10;34;0.498981528;0.679987455;0.589957005;3.018736398;0.409045864;1938.725148;0.161078293;2661.651358;9
scenario13112;13112;4;52;10;34;0.498482692;0.68049691;0.591567057;4.005396906;0.411159594;1848.891764;0.161545749;2609.046737;9
scenario13113;13113;2;54;10;34;0.497983855;0.681006365;0.593177109;6.965378431;0.413293359;1759.058381;0.162015857;2556.442116;9
scenario13114;13114;52;2;12;34;0.525394678;0.672062014;0.551619678;1.273106268;0.365727875;4041.450034;0.150651374;3926.393232;9
scenario13115;13115;50;4;12;34;0.524895841;0.67257147;0.55322973;1.282213903;0.367451576;3951.61665;0.151062305;3873.788611;9
scenario13116;13116;48;6;12;34;0.524397004;0.673080925;0.554839782;1.292080508;0.369190021;3861.783266;0.151475443;3821.18399;9
scenario13117;13117;46;8;12;34;0.523898168;0.67359038;0.556449834;1.302805079;0.370943398;3771.949883;0.151890806;3768.579369;9
scenario13118;13118;44;10;12;34;0.523399331;0.674099835;0.558059886;1.314504611;0.372711902;3682.116499;0.152308409;3715.974749;9
scenario13119;13119;42;12;12;34;0.522900495;0.67460929;0.559669938;1.327318384;0.374495728;3592.283115;0.152728271;3663.370128;9
scenario1312;1312;74;12;10;4;0.437013607;0.643810626;0.55960638;1.064238793;0.347343474;4779.00993;0.149807056;4129.133077;9
scenario13120;13120;40;14;12;34;0.522401658;0.675118746;0.56127999;1.341413534;0.376295077;3502.449732;0.15315041;3610.765507;9
scenario13121;13121;38;16;12;34;0.521902821;0.675628201;0.562890042;1.356992384;0.378110152;3412.616348;0.153574843;3558.160886;9
scenario13122;13122;36;18;12;34;0.521403985;0.676137656;0.564500094;1.374302217;0.37994116;3322.782964;0.154001587;3505.556265;9
scenario13123;13123;34;20;12;34;0.520905148;0.676647111;0.566110146;1.393648502;0.381788313;3232.949581;0.154430662;3452.951644;9
scenario13124;13124;32;22;12;34;0.520406312;0.677156567;0.567720198;1.415413072;0.383651824;3143.116197;0.154862085;3400.347023;9
scenario13125;13125;30;24;12;34;0.519907475;0.677666022;0.56933025;1.440079585;0.385531911;3053.282813;0.155295875;3347.742402;9
scenario13126;13126;28;26;12;34;0.519408638;0.678175477;0.570940302;1.468269885;0.387428798;2963.44943;0.155732051;3295.137781;9
scenario13127;13127;26;28;12;34;0.518909802;0.678684932;0.572550354;1.500797154;0.389342709;2873.616046;0.156170632;3242.53316;9
scenario13128;13128;24;30;12;34;0.518410965;0.679194387;0.574160406;1.538745635;0.391273876;2783.782663;0.156611635;3189.928539;9
scenario13129;13129;22;32;12;34;0.517912129;0.679703843;0.575770459;1.58359384;0.393222533;2693.949279;0.157055082;3137.323918;9
scenario1313;1313;72;14;10;4;0.436514771;0.644320081;0.561216432;1.064761666;0.348931814;4689.176547;0.150209303;4076.528456;9
scenario13130;13130;20;34;12;34;0.517413292;0.680213298;0.577380511;1.637411686;0.395188918;2604.115895;0.157500991;3084.719297;9
scenario13131;13131;18;36;12;34;0.516914455;0.680722753;0.578990563;1.703189053;0.397173274;2514.282512;0.157949383;3032.114677;9
scenario13132;13132;16;38;12;34;0.516415619;0.681232208;0.580600615;1.785410762;0.39917585;2424.449128;0.158400276;2979.510056;9
scenario13133;13133;14;40;12;34;0.515916782;0.681741663;0.582210667;1.891124388;0.401196896;2334.615744;0.158853691;2926.905435;9
scenario13134;13134;12;42;12;34;0.515417946;0.682251119;0.583820719;2.03207589;0.40323667;2244.782361;0.159309648;2874.300814;9
